place_id,parent_place_id,class,type,name,street,house_number,boundary,neighbourhood,suburb,postcode,city,lat,lon
101179,611193,amenity,restaurant,Strandlust,Seddinpromenade,3a,"","",Schmöckwitz,12527,Berlin,52.3762307,13.657224
153695,619554,amenity,cafe,coffee point,Puttkamerstraße,7,"","",Kreuzberg,10969,Berlin,52.5043808,13.3906826
154414,616557,amenity,restaurant,Panther,Waldemarstraße,119,"","",Kreuzberg,10997,Berlin,52.500815,13.4299066
154458,622303,amenity,cafe,Café Juli's,Metzer Straße,21,"","",Prenzlauer Berg,10405,Berlin,52.5304718,13.4185069
154206,539057,tourism,hotel,Midi Inn,Veteranenstraße,10,"","",Mitte,10119,Berlin,52.533001,13.401672
154604,530664,amenity,restaurant,CôWei,James-Simon-Park,152,"","",Mitte,10178,Berlin,52.5222784,13.3996752
154635,598439,amenity,pub,The Happy Pig,Lenbachstraße,1,"","",Friedrichshain,10245,Berlin,52.5066728,13.4679738
501730,730286,highway,footway,Alfred-Balen-Weg,,,Wilhelmstadt,"",,13595,Berlin,52.5193231,13.1880616
154738,518230,tourism,hostel,BackpackerBerlin,Knorrpromenade,10,"","",Friedrichshain,10245,Berlin,52.5087811,13.4622961
503458,709855,highway,residential,Delbrückstraße,,,Grunewald,"",,14193,Berlin,52.4873037,13.2745909
155216,522434,amenity,restaurant,Fischschuppen,Boxhagener Straße,68,"","",Friedrichshain,10245,Berlin,52.5064646,13.4700069
155291,667241,amenity,restaurant,Supreme Burger Grill & Bar,Oranienburger Straße,26,"","",Mitte,10117,Berlin,52.5245121,13.3953134
155569,589684,amenity,restaurant,Song Lam 37,Stromstraße,64,"","",Moabit,10555,Berlin,52.5252716,13.3424288
505690,728033,highway,footway,Schleswiger Ufer,,,Hansaviertel,"",,10555,Berlin,52.518645,13.3378902
505775,535874,highway,footway,Fliederweg,,,"","",,13403,Berlin,52.5765213,13.3113917
506007,730979,highway,residential,Premnitzer Straße,,,Marzahn,"",,12681,Berlin,52.5574193,13.5502738
155597,533837,amenity,pub,Dresden,Dresdener Straße,19,"","",Kreuzberg,10999,Berlin,52.501598,13.4166474
155601,552587,amenity,restaurant,Taverna Apollon,Danziger Straße,72,"","",Prenzlauer Berg,10435,Berlin,52.5390272,13.4237353
156199,527763,amenity,restaurant,Gorki Park,Weinbergsweg,25,"","",Mitte,10119,Berlin,52.530593,13.4017208
156866,610775,amenity,bar,Bar Tausend,Schiffbauerdamm,11,"","",Mitte,10117,Berlin,52.5208236,13.3847097
155922,669592,amenity,cafe,Florida Eiscafé,Altstädter Ring,1,"","",,13597,Berlin,52.5354419,13.1991972
507268,729192,highway,footway,Zur Kühleweinstraße,,,Reinickendorf,"",,13409,Berlin,52.5633297,13.3706692
156443,610566,amenity,restaurant,El Colmado,Joachimsthaler Straße,10,"","",Charlottenburg,10719,Berlin,52.5028689,13.3307134
156452,721996,tourism,hotel,Select Hotel Berlin Gendarmenmarkt,Charlottenstraße,66,"","",Mitte,10117,Berlin,52.5106118,13.3915889
155854,716620,amenity,restaurant,Sai Baba,Rigaer Straße,75,"","",Friedrichshain,10247,Berlin,52.5164038,13.4655673
156397,506797,amenity,bar,Jazz Club Schlot,Schlegelstraße,26,"","",Mitte,10115,Berlin,52.5301264,13.3852793
507321,729192,highway,residential,Blankestraße,,,Reinickendorf,"",,13403,Berlin,52.5634051,13.329229
156750,500198,amenity,pub,Schillerklause,Am Schillertheater,1,"","",Charlottenburg,10625,Berlin,52.5111959,13.3183583
156684,521497,tourism,hotel,Melarose,Greifswalder Straße,199,"","",Prenzlauer Berg,10405,Berlin,52.5341399,13.4302131
156688,527121,amenity,nightclub,Caribic Modelle,Osloer Straße,110,"","",Gesundbrunnen,13359,Berlin,52.555462,13.38507
156354,533286,amenity,cafe,Les Pâtisseries de Sébastien,Invalidenstraße,157,"","",,10115,Berlin,52.5323549,13.396964
507992,603764,highway,residential,Freiheit,,,"","",,12555,Berlin,52.4473791,13.5782019
508048,729535,highway,residential,Ballonplatz,,,Karow,"",,13125,Berlin,52.622075,13.4841662
508760,729963,highway,residential,Boris-Pasternak-Weg,,,Niederschönhausen,"",,13156,Berlin,52.5760762,13.4003742
156434,518453,amenity,restaurant,Steakhaus Stampedo,Friedrich-Engels-Straße,44,"","",,13156,Berlin,52.5839355,13.3911356
157090,546735,amenity,bar,XXL Cruising-Club,Bornholmer Straße,7,"","",Prenzlauer Berg,10439,Berlin,52.554228,13.4120945
157063,593636,amenity,bar,Timber Doodle Bar,Wühlischstraße,37,"","",Friedrichshain,10245,Berlin,52.509129,13.458883
157079,607448,amenity,cafe,Cafe Aedes,Bleibtreustraße,5a,"","",Charlottenburg,10623,Berlin,52.5056639,13.3198539
508928,732870,highway,footway,Karl-Hofer-Straße,,,Zehlendorf,"",,14163,Berlin,52.4358184,13.2368521
157458,683935,amenity,nightclub,Triplex Club,Frankfurter Allee,98,"","",Friedrichshain,10247,Berlin,52.5136642,13.4727613
509535,732441,highway,residential,Am Bahnhof Westend,,,Charlottenburg,"",,14059,Berlin,52.5179461,13.2854295
203206,541829,amenity,restaurant,Sonora,Krumme Straße,41,"","",Charlottenburg,10627,Berlin,52.507743,13.3092047
509761,535874,highway,footway,Wachtelweg,,,"","",,13403,Berlin,52.5748879,13.3089494
156940,611905,amenity,cafe,ostPost,Choriner Straße,84,"","",Mitte,10119,Berlin,52.531,13.405692
509676,571441,highway,residential,Cottbusser Straße,,,"","",,12627,Berlin,52.5365669,13.5980124
157431,500062,amenity,restaurant,lemongrass,Quedlinburger Straße,45,"","",Charlottenburg,10589,Berlin,52.523416,13.3071209
158030,534780,amenity,cafe,Cupcake,Krossener Straße,12,"","",,10245,Berlin,52.5107534,13.4578148
510384,730093,highway,residential,Thorner Straße,,,Mahlsdorf,"",,12623,Berlin,52.5083494,13.6063331
202661,700064,amenity,restaurant,Ulrichs,Karl-Heinrich-Ulrichs-Straße,11,"","",Schöneberg,10787,Berlin,52.5017525,13.352994
203210,537578,amenity,pub,Mittendrin,Pestalozzistraße,83,"","",Charlottenburg,10627,Berlin,52.5077469,13.3086505
157792,522294,tourism,hotel,Hotel Fortuna,Jacobsohnstraße,20,"","",Weißensee,13086,Berlin,52.5552853,13.4343472
511327,729863,highway,footway,Markircher Weg,,,Dahlem,"",,14195,Berlin,52.4441828,13.279616
203214,533982,tourism,hotel,Hotel AI Königshof,Stuttgarter Platz,7,"","",Charlottenburg,10627,Berlin,52.5057392,13.3044971
511245,730979,highway,residential,Lea-Grundig-Straße,,,Marzahn,"",,12687,Berlin,52.5519351,13.5645211
511180,732522,highway,residential,Straße 59,,,Französisch Buchholz,"",,13127,Berlin,52.5930404,13.4379718
157449,525173,amenity,cafe,Café Laelia,Greifswalder Straße,50,"","",,10405,Berlin,52.5370584,13.4345124
203694,655712,amenity,cafe,Plötners Cafe,Anton-Saefkow-Platz,11,"","",Fennpfuhl,10369,Berlin,52.5293019,13.4705843
157405,534780,amenity,bar,Cento Passi,Krossener Straße,34,"","",Friedrichshain,10245,Berlin,52.5093544,13.464978
157992,538056,amenity,pub,FLAX,Chodowieckistraße,41,"","",Prenzlauer Berg,10405,Berlin,52.5358364,13.4311032
157452,514311,amenity,bar,Kapitel 21,Lehrter Straße,55,"","",Moabit,10557,Berlin,52.5341997,13.3586574
511401,549393,highway,residential,Lindenstraße,,,Müggelheim,Siedlung Schönhorst,,12559,Berlin,52.4233687,13.7060919
512680,669257,tourism,hostel,Umweltzentrum Fuchsbau,An der Wuhlheide,171,"","",Oberschöneweide,12459,Berlin,52.46600615,13.544203712757252
158349,608588,amenity,bar,Reingold,Novalisstraße,11,"","",Mitte,10115,Berlin,52.528723,13.3882109
